dia_semana,festivo,hora_sin,hora_cos,semana_sin,semana_cos,linea_LÍNEA 1,linea_LÍNEA 2,linea_LÍNEA A,linea_LÍNEA B,linea_LÍNEA H,linea_LÍNEA J,linea_LÍNEA K,linea_LÍNEA L,linea_LÍNEA M,linea_LÍNEA O,linea_LÍNEA P,linea_LÍNEA T-A,lag_1,lag_1_missing,promedio_dia_anterior,misma_hora_semana_anterior
-0.5000162988918255,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.05164944529372097,0,-0.06325652487551112,0.04974669762019194
-0.5000162988918255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.0493159832619799,0,-0.06325652487551112,0.047103040536739915
-0.5000162988918255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.050533441713323066,0,-0.06325652487551112,0.07608158933611789
-0.5000162988918255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.005469647048462676,0,-0.06325652487551112,0.10150136898469506
-0.5000162988918255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.026064985850351274,0,-0.06325652487551112,0.26256109283808
-0.5000162988918255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.15379666837043868,0,-0.06325652487551112,0.3944389096548983
-0.5000162988918255,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.3254583100098254,0,-0.06325652487551112,0.1973847778191281
-0.5000162988918255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.14770937611372284,0,-0.06325652487551112,-0.008413758215752612
-0.5000162988918255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.038054492587055594,0,-0.06325652487551112,-0.11649866128150271
-0.5000162988918255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.14174137069311543,0,-0.06325652487551112,-0.18014978952153993
-0.5000162988918255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.1874975174894295,0,-0.06325652487551112,-0.2995210747512583
-0.5000162988918255,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.2743428870185755,0,-0.06325652487551112,-0.4137067249326669
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.4178000745351788,1,-0.011166297159534978,-0.1799464312843513
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.21671652032166555,0,-0.011166297159534978,0.24822433711628245
0.010169823028308269,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.09322811041611606,0,-0.011166297159534978,0.41019917303701614
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.27665851708515343,0,-0.011166297159534978,0.35295382926842034
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.2346562005138141,0,-0.011166297159534978,0.09529894275044222
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.026876624817913385,0,-0.011166297159534978,0.03652841220293181
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.005791843626461631,0,-0.011166297159534978,-0.021733722751607044
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.049417438132925165,0,-0.011166297159534978,0.011617028147326194
0.010169823028308269,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.038155947458000855,0,-0.011166297159534978,0.04974669762019194
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04515633355322407,0,-0.011166297159534978,0.047103040536739915
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.04748979558496515,0,-0.011166297159534978,0.07608158933611789
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01825296078756594,0,-0.011166297159534978,0.10150136898469506
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.05376216561840835,0,-0.011166297159534978,0.26256109283808
0.010169823028308269,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.18524767836347053,0,-0.011166297159534978,0.3944389096548983
0.010169823028308269,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.34645946829549507,0,-0.011166297159534978,0.1973847778191281
